set,surname,expected,edge_case
01,Розгон,rozghon,"зг → zgh"
01,Єременко,yeremenko,"є на початку → ye"
01,Матвієнко,matviienko,"є всередині → ie"
01,Демʼянюк,demianiuk,"апостроф не передається; я/ю всередині → ia/iu"
01,Мельник,melnyk,"ь не передається"
01,Нечуй-Левицький,nechui-levytskyi,"й всередині/в кінці → i; дефіс зберігається"
02,Згурський,zghurskyi,"зг на початку слова → zgh"
02,Йовенко,yovenko,"й на початку → y"
02,Заїка,zaika,"ї всередині → i"
02,Лукʼянчук,lukianchuk,"апостроф; я всередині → ia"
02,Гальченко,halchenko,"г → h; ь не передається"
02,Щербатюк,shcherbatiuk,"щ → shch; ю всередині → iu"
03,Розгін,rozghin,"зг → zgh"
03,Юрченко,yurchenko,"ю на початку → yu"
03,Тютюнник,tiutiunnyk,"ю всередині двічі → iu; подвоєння зберігається"
03,Марʼяненко,marianenko,"апостроф; я всередині → ia"
03,Кисіль,kysil,"и → y; ь не передається"
03,Карпенко-Карий,karpenko-karyi,"дефіс; ий → yi"
04,Безгін,bezghin,"зг → zgh"
04,Яковенко,yakovenko,"я на початку → ya"
04,Забіяка,zabiiaka,"я всередині після і → ia (разом ii)"
04,Дробʼязко,drobiazko,"апостроф; я всередині → ia"
04,Касьяненко,kasianenko,"ь не передається; я всередині → ia"
04,Хмельницький,khmelnytskyi,"х → kh; ь двічі"
05,Мозговий,mozghovyi,"зг → zgh"
05,Їжакевич,yizhakevych,"ї на початку → yi"
05,Соловйов,soloviov,"й всередині → i"
05,Стефʼюк,stefiuk,"апостроф; ю всередині → iu"
05,Коваль,koval,"ь у кінці не передається"
05,Квітка-Основʼяненко,kvitka-osnovianenko,"дефіс + апостроф + я всередині"
